SUCURSAL,FECHA,PRODUCTO,MONTO
1,01-01-2024,pan,500
1,01-01-2024,leche,1700
1,01-01-2024,manteca,600
1,01-01-2024,manteca,600
1,01-01-2024,leche,1700
2,01-01-2024,pan,500
2,02-02-2024,oreos,800
1,02-02-2024,fernet,3000
2,02-02-2024,manteca,600
1,03-02-2024,pan,600
1,03-02-2024,fernet,3500
1,03-02-2024,crema,1500
2,10-05-2024,pan rallado,1900
2,10-05-2024,aceite,3000
1,10-10-2024,blue label,85500
1,10-11-2024,papel cocina,2000
1,10-11-2024,yogurt,450
2,10-11-2024,sal,1900
2,10-11-2024,pepitos,900
2,10-11-2024,aceite,2900
1,01-12-2024,papel cocina,1500
2,12-12-2024,fanta,3500
2,29-12-2024,coca,1500
2,29-12-2024,fanta,1200
2,29-12-2024,sidra,3000
2,30-12-2024,coca,1500
2,30-12-2024,fanta,1200
2,30-12-2024,sidra,3000
2,31-12-2024,coca,1500
2,31-12-2024,fanta,1200
2,31-12-2024,sidra,3000
2,01-01-2025,coca,1500
2,01-01-2025,fanta,1200
2,01-01-2025,sidra,3000
